Total ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Score,Symbol,Sector,Industry
-0.7152136445895544,-0.5387246007500341,-0.602383871691841,0.036408009268715756,-1.2715470027822222,AKAM,Technology,Software - Infrastructure
0.6877974841945784,1.8468443623585793,-1.2388247820659064,-0.231990059059805,-0.00939566750824297,ALB,Basic Materials,Specialty Chemicals
0.01552131831884799,-0.9234937883481976,0.22775644618737478,1.8257284647921859,-0.00939566750824297,ALL,Financial Services,Insurance - Property & Casualty
-1.3436457126907806,-0.25014771005141156,-1.736908972793436,-0.6793201729406726,-1.2715470027822222,AMAT,Technology,Semiconductor Equipment & Materials
0.2932006042240407,0.5386291245248235,-0.21498505668154025,-0.053058013507457834,-1.2715470027822222,AME,Industrials,Specialty Industrial Machinery
0.01552131831884799,-0.9812091664879221,1.1685821397838194,0.4390051117614963,1.2527556677657363,AMGN,Healthcare,Drug Manufacturers - General
-0.23292856907000872,-0.7118707351692077,-0.40868446418669063,1.5573303964636656,-0.00939566750824297,AMP,Financial Services,Asset Management
-1.6067102993378053,-0.5579630601299423,-1.7922516606520504,-0.7240531843287591,-1.2715470027822222,AMT,Real Estate,REIT - Specialty
1.2723854545213003,0.03842918064721106,1.6943376744406564,1.0652672711947107,1.2527556677657363,AMZN,Consumer Cyclical,Internet Retail
-0.7590577423640587,-1.0389245446276465,-0.10429968096431136,0.26007306620914955,-1.2715470027822222,ANET,Technology,Computer Hardware
0.5124210930965614,0.26929069320610916,0.7258406369149045,-0.18725704767171802,-1.2715470027822222,AOS,Industrials,Specialty Industrial Machinery
2.4707907936910796,3.116582681432519,-0.10429968096431136,0.5284711345376699,-0.00939566750824297,APA,Energy,Oil & Gas E&P
-1.4021045097234526,0.30776761196592556,-2.151979131733044,-1.5739804007024076,-1.2715470027822222,APD,Basic Materials,Specialty Chemicals
-0.33523146387718494,0.2885291525860173,-1.294167469924521,0.3495390889853227,-0.00939566750824297,APH,Technology,Electronic Components
-1.6359396978541416,-0.8273014914486567,-1.487866877429671,-0.6793201729406726,-1.2715470027822222,APTV,Consumer Cyclical,Auto Parts
1.8569734248480223,1.7314136060791305,1.1409107958545124,-0.18725704767171802,-0.00939566750824297,ATO,Utilities,Utilities - Regulated Gas
-1.7674719911776537,-0.5387246007500341,-2.013622412086508,-0.9029852298811063,-1.2715470027822222,AVB,Real Estate,REIT - Residential
-0.27677266684451296,0.2885291525860173,-0.9067686549142201,-0.09779102489554482,1.2527556677657363,AVGO,Technology,Semiconductors
-0.8467459379130666,1.0773059871622526,-2.318007195308887,-1.3950483551500605,-1.2715470027822222,AVY,Consumer Cyclical,Packaging & Containers
-0.042937478713823994,0.6155829620444563,-0.4640271520453051,-0.8135192071049328,-1.2715470027822222,AWK,Utilities,Utilities - Regulated Water
-0.48137845645886546,-1.0966399227673713,-0.10429968096431136,1.2889323281351444,-0.00939566750824297,AXP,Financial Services,Credit Services
-1.5920956000796374,-1.0966399227673713,-0.602383871691841,-1.350315343761974,-0.00939566750824297,AZO,Consumer Cyclical,Specialty Retail
2.587708387756425,0.5771060432846401,3.6590030934214672,0.6626701687019305,2.5149070030397156,BA,Industrials,Aerospace & Defense
